.,English
Event_Control1_Diario.button1,Continue
Event_DIARIO_SIMBOLO1.button2,Close Diary
Event_DIARIO_SIMBOLO2.button2,Close Diary
Event_DIARIO_SIMBOLO3.button2,Close Diary
Event_Control0_Diario.button2,Cancel
Event_Control0_Diario.text,Here is where you have written down the symbols you have found.
Event_APUNTAS_DIARIO.text,This symbol is also recorded in your diary.
Event_APUNTAS_DIARIO.button1,Continue
Event_Control3_Pasillo1.text,It is already getting dark. Do you want to return to your room?
Event_Control3_Pasillo1.button1,{action} Go to sleep
Event_Control3_Pasillo1.button2,Not yet
Event_VAS_HABITACION_CON_COLLAR.text,"As night falls, the hotel becomes much darker than it was during the day ({will}-1: 1). If you pass, you know that these silhouettes are a figment of your mind, and you stop making a big deal out of it. If you fail, the play of shadows cast by the moon into the corners of the room makes you believe they are real, sinister figures; suffer 1 Horror. \n\n Before you close your eyes, you watch as the dark sky casts a huge bright line of glowing stars."
Event_NOCHE2_CON_COLLAR.text,|||You can't stop thinking about everything that happened today. <i>"Do I have to worry about Bobby? Why is Denise so hard on him? After all, he helped us escape and is giving us a roof over our heads to temporarily take refuge. And why would he want the necklace? I don't think he's a bad guy"</i> \n\n You were so immersed in your thoughts that you forgot to pay attention to your surroundings.|||
Event_VAS_HABITACION_SIN_COLLAR.button1,Continue
Event_VIENE_BOBBY.button1,Continue
Event_NOCHE2_SIN_COLLAR.text,|||You can't stop thinking about everything that happened today. <i>"Do I have to worry about Bobby? Why is Denise so hard on him? After all, he helped us escape and is giving us a roof over our heads to temporarily take refuge. And why would he want the necklace? I don't think he's a bad guy"</i> \n\n You were so immersed in your thoughts that you forgot to pay attention to your surroundings.|||
Event_NOCHE2_BOBBY1.button1,Continue
Event_VIENE_BOBBY.text,"Again, you hear more agitated breathing coming towards you. A small, tinkling light peeks out from the foot of the bed, and your sheets begin to move upwards. The event was so quick that you did not have time to see what was beneath them. ({agility}: 3) \n\n If you pass, you quickly grab the sheets while they are airborne allowing you to see what lurks beneath them, but still, the tension of the moment terrifies you; suffer 1 Horror facedown ({strength} negates). If you fail, strong hands grab your feet, pulling you down slightly; suffer 1 Horror."
Event_NOCHE2_BOBBY3.text,"You listen to him attentively without knowing what to say, but you are sure that there is a strong connection between you two due to the way he looks at you. \n <color=aqua><i>—Let me stay with you tonight. I want to protect you. I will do whatever it takes to stop them from looking for you. We will somehow manage to be together. Trust me.</i></color>"
Event_DIA2.button1,Continue
Event_NOCHE2_BOBBY3.button1,Accept proposal
Event_NOCHE2_BOBBY1.text,|||You try to scream with all your might, but before you can, Bobby tightly covers your mouth. \n <color=aqua><i>"Shhh! He's going to hear us!,"</i></color> he represses you in a high-pitched whisper, <color=aqua><i>"I didn't mean to scare you. I wanted to see you again after what happened this morning and it occurred to me to surprise you more 'affectionately'. I'm sorry I scared you." \n </i></color> \n You couldn't tell if it was an attempted romantic maneuver or a scare to death.|||
Event_ACEPTAS_BOBBY_CON_COLLAR.text,You gently spent that dark and silent night until the next morning.
Event_RECHAZAS_BOBBY_CON_COLLAR.text,|||Disappointed, Bobby disappears from your room, leaving you with this sentence: \n <color=aqua><i>"We all make mistakes, Wendy. Remember that you can trust me." </i></color> \n\n You notice that Bobby has glanced at the necklace on your bedside table and sighs in relief before leaving.|||
Event_ACEPTAS_BOBBY_SIN_COLLAR.text,You gently spent that dark and silent night until the next morning.
Event_DIA2_2.text,"When you wake up, you review everything that happened last night, and you wonder if you might have been a little cruel to him. \n You were sure that a good cold shower would give you pause for thought. \n\n You also realize that the small greenish figurine you found in the hotel is not in the room. \n Discard the Grotesque Stone Unique item."
Event_NOCHE2_BOBBY3.button2,Reject proposal
Event_CON_LLAVES_BOBBY.text,"This room is slightly larger than the rest of the hotel. It also has no dust on the furniture and is much better decorated. \n You close the door behind you so they can't see you. \n\n Place the <color=#e3b529>{c:Tile_Habitacion3}</color> Tile, your Investigator <b>Wendy Adams</b>, a <b>Shelf</b> token and <color=yellow><i>Search</i></color> and <color=red><i>Explore</i></color> tokens as indicated."
Event_CON_LLAVES_BOBBY.button1,Continue
Event_DIA2.text,"During the night while Bobby slept, you sneaked the keys to his room. You were too curious to see what was hidden behind that door. \n You thought Bobby had left for work that morning, so you took the opportunity to investigate further. \n\n What you didn't expect was that the small greenish figure you found in the hotel was not where you left it the night before. \n Remove the Grotesque Stone Unique item."
Token_Agujero.button1,Botón1
Event_Control1_Agujero.text,There is a large sailing theme painting on a sturdy frame, hanging on this wall. It is slightly moved.
Event_Control1_Agujero.button1,{action} Remove
Event_Control1_Agujero.button2,Cancel
Event_FALLAS_CUADRO.button1,Continue
Event_RETIRAS_CUADRO.text,|||You remove the huge painting and see a tiny hole in the wall. \n When you look out, you find out that the room on the other side is the hotel bathroom. \n <i>"Has Bobby been spying on us from here?"</i> \n\n Remove the Search token.|||
Event_FALLAS_CUADRO.text,The painting is too heavy. You have to try harder.
Event_RETIRAS_CUADRO.button1,Continue
Token_Maleta.button1,Botón1
Event_Control1_Maleta.text,This huge suitcase must be Bobby's, but it has a code.
Event_Control1_Maleta.button1,{action} Continue
Event_ABRES_MALETA.text,|||When you open the suitcase you find a jumble of documents and the most sinister gadgets. Among them are: a sacred cross, a cultist emblem, and an arcane manuscript. \n <i>"What will Bobby need all this for?"</i> \n\n You notice that this manuscript is the same book that your father was holding in the photograph you found in the hallway. You remember that your mother read you old books in unknown languages ​​when you were very little, some of those words you still have in your memory. \n With great effort, you try to read some of the pages of that ancient manuscript and understand it better {lore}|||
Event_Control1_Maleta.button2,Cancel
Puzzle_Maleta.button1,Solve
Event_ABRES_MALETA.button1,Continue
Event_ABRES_MALETA.button2,Botón2
Event_FALLAS_LIBRO.text,You ought to remember the stories your mother taught you.
Event_FALLAS_LIBRO.button1,Continue
Event_Control2_Maleta.button1,Botón1
Event_LEES_LIBRO.text,|||This ancient book recounts a host of terrifying legends that loom over the world, ancient writings well told of human sacrifices to great monsters called "Outer Gods". \n\n The last pages recount in detail the discoveries that a group of marines made ten years ago. \n\n <i>On a night like tonight, the stars will align in the dark sky, and only the flash of light emitted by the amulet with the {success} symbol will show the way to the new world, ruled by beings from other galaxies with powers far beyond our understanding.</i> \n The team assigned to this task was the crew your father was in. \n\n Countless other preparations and spells are described in detail in this book. \n Gain 1 Clue {clue] and the <b>Wrack</b> Spell. \n Remove this Search token.|||
Event_LEES_LIBRO.button1,Continue
Event_DONDE_ESTA_COLLAR.text,|||The pendant that shows the book's illustrations is the same one your parents gave you when you were little. \n\n Now you realize everything that Denise told you and that it seemed to be fine. \n You also realize you haven't seen the pendant since last night. \n "<i>I remember that last night I took it off and left it on my bedside table before going to sleep</i>." \n\n Discard the {c:QItem_Colgante}  Common Item.|||
Event_DONDE_ESTA_COLLAR.button1,Continue
Event_DONDE_ESTA_DENNIS.text,|||<i>"And where is Denise? I haven't seen her all morning. I hope nothing bad happened to her."</i> \n\n There is only one place in the entire hotel that you haven't investigated yet. \n\n Now would be a good time to go out and investigate outside the hotel.|||
Event_DONDE_ESTA_DENNIS.button1,Continue
Event_VAS_HABITACION_CON_COLLAR.button1,Continue
Event_VAS_HABITACION_SIN_COLLAR.text,"As night falls, the hotel becomes much darker than it was during the day ({will}-1: 1). If you pass, you know that these silhouettes are a figment of your mind, and you stop making a big deal out of it. If you fail, the play of shadows cast by the moon into the corners of the room makes you believe they are real, sinister figures; suffer 1 Horror. \n\n Before you close your eyes, you watch as the dark sky casts a huge bright line of glowing stars."
Event_Control2_Pasillo3.text,"This door leads outside, leading to a small dock next to the river. \n During these two days you have not been able to go outside the hotel for fear of being seen. But Denise may be in danger. \n\n To open the door you need to enter the code correctly. \n\n <b>Note:</b> You spend 1 {action} for each option you choose from the following:"
Event_Control1_Objetos.button1,Success {success}
Event_Control1_Objetos.button2,Magnifying glass {clue}
Event_Control1_Objetos.button3,Empty face
Event_REVOLVER.text,"{qst:OBC} {c:QItem} \n\n {qst:QBUS}"
Event_NUDILLERAS.text,"{qst:OBC} {c:QItem} \n\n {qst:QBUS}"
Event_NUDILLERAS.button1,Continue
Event_Control1_Objetos.text,"Among Bobby's belongings are several interesting gadgets. \n\n <b>Note:</b> Roll 1 die and enter the result of your roll. You cannot trade magnifying glasses for success."
Event_REVOLVER.button1,Continue
Token_Puerta_Pasillo2.button1,Botón1
Event_Control1_Puerta_Pasillo2.text,This door leads to the hotel hall.
Event_Control1_Puerta_Pasillo2.button1,{action} Open
Event_Control1_Puerta_Pasillo2.button2,Cancel
Event_SALES_PASILLO2.text,"There is an uncomfortable silence in these halls. \n\n {qst:QBUS}"
Event_SALES_PASILLO2.button1,Continue
Event_Control1_Pasillo3.button1,Continue
Event_TUBERIA1.button1,"Some of the objects that you didn't think of before now seem more useful to you for some reason. \n\n Place the <b>{c:QItem_Tuberia}</b> Common Item as indicated. \n You may move 1 or 2 spaces into the explored area."
Event_PALANCA1.text,Continue
quest.authors,"\n Created by Sandra P. \n\n Thanks to Vidimus, Dani RT, and Dark Vanf for their collaboration. \n\n English translation: Vidimus \n"
quest.authors_short,Sandra P.
Event_VENDAS.button1,Continue
Token_Objetos_Bobby.button1,Botón1
Event_VENDAS.text,"{qst:OBC} {c:QItem} \n\n {qst:QBUS}"
Event_Control2_Pasillo3.button1,<color=red>{success}</color> {success} <color=green>{success}</color>
Event_Control2_Pasillo3.button2,<color=orange>{success}</color> <color=red>{success}</color> <color=blue>{success}</color>
Event_Control2_Pasillo3.button3,<color=fuchsia>{success}</color> <color=yellow>{success}</color> {success}
Event_Control2_Pasillo3.button4,<color=orange>{success}</color> <color=red>{success}</color> <color=blue>{success}</color>
Event_Control2_Pasillo3.button5,<color=red>{success}</color> <color=orange>{success}</color> <color=blue>{success}</color>
Event_Control2_Pasillo3.button6,<color=blue>{success}</color> <color=orange>{success}</color> <color=red>{success}</color>
Event_Control2_Pasillo3.button7,<color=green>{success}</color> <color=yellow>{success}</color> <color=red>{success}</color>
Event_Control2_Pasillo3.button8,<color=blue>{success}</color> <color=yellow>{success}</color> <color=red>{success}</color>
UI_Texto_Entierro_Bobby.uitext,Cancel
Event_FALLAS_PUERTA.text,"On the plaque next to the door is a clue: \n\n<i>The first color represents the normality of the sky. \n The second color represents the drawing of the sunset. \n The third drawing represents what the sky will be like when the final apocalypse begins."
Event_FALLAS_PUERTA.button1,Continue
Event_ACEPTAS_BOBBY_CON_COLLAR.button1,Continue
Event_ACEPTAS_BOBBY_SIN_COLLAR.button1,Continue
Event_ACEPTAS_BOBBY_SIN_COLLAR2.button1,Continue
Event_EXPLICACION_BOBBY.text,"Bobby exhales a sigh and worriedly details the plan he had with Denise. \n\n In great detail, he explains that Denise belongs to a cult of Arkham, who worship powerful gods from another dimension, and on nights like tonight when the stars are right, the amulet you wear as a pendant will show the way that opens the gap between Heaven and Earth to another world beyond imagining. \n\n On Bobby's side, he shows a photograph with a dedication from when he was a young boy, climbing on the knee of his uncle Jonathan Foster. He was very important in his life, he thought of him as a father. His uncle was a marine, just like your father, and together with his shipmates they were given the task of discovering the way to the portal, but things didn't go as expected and many of them died in the mission. Your father gave the pendant to your mother before he disappeared, and then she gave it to you."
Event_ACEPTAS_BOBBY_SIN_COLLAR2.text,|||Before you wake up, anguished screams echo in your head. \n <color=cyan><i>"Wendy, where is your pendant? Wendy!"</i></color> \n You don't understand what's happening and Bobby starts to get very nervous, looking for the necklace in every corner of the room. \n Throwing his hands on his head, he keeps regretting not having told you sooner. \n <color=cyan><i>"Fuck… Fuck Wendy! Tell me you hid it, please..."</i></color> \n You also notice that the small greenish figure you found is not in the room. \n Discard the Grotesque Sculpture Common Item. \n\n You try to calm him down in some way ({influence}-1: 2) If you pass, you explain Denise's suspicions to him and he ends up understanding. If you fail, you try to calm him down without much success, suffer 1 facedown Horror, due to his hysteria.|||
Event_EXPLICACION_BOBBY.button1,Continue
Event_EXPLICACION_BOBBY2.button1,Continue
Event_BUSCAS_DENNIS.button1,Continue
Event_EXPLICACION_BOBBY2.text,"Denise tricked you into helping her open the portal, you had the amulet and Bobby had the components to get it. He thought that this way he would find out what happened to his uncle, but now he seems to be sorry. \n\n You feel deep pain as if several knives had been stabbed in your back. \n\n While Bobby holds your hands tightly, he asks you to help him stop Denise's plan. \n\n Gain 1 Clue <color=green><b>1 {clue}</b></color>."
Event_TUBERIA2.text,"Some of the objects that you didn't think of before now seem more useful to you for some reason. \n\n Place the <b>{c:QItem_Tuberia}</b> Common Item as indicated. \n You may move 1 or 2 spaces into the explored area."
Event_BUSCAS_DENNIS.text,"There is only one place in the entire hotel that you have not investigated yet. \n\n Place the <color=cyan><i>Bobby Foster</i></color>'s token as indicated."
Event_TUBERIA2.button1,Continue
Event_PALANCA2.button1,"Some of the objects that you didn't think of before now seem more useful to you for some reason. \n\n Place the <b>{c:QItem_Palanca}</b> Common Item as indicated. \n You may move 1 or 2 spaces into the explored area."
Event_DENNIS_CONTRA_BOBBY.button2,Continue
Token_Bobby3.button1,Botón1
Event_Control1_Bobby3.text,Bobby is very sorry for what he has done.
Event_Control1_Bobby3.button1,Continue
Event_NOCHE2_BOBBY2.button1,Continue
Event_RECHAZAS_BOBBY_CON_COLLAR.button1,Continue
Event_NOCHE2_BOBBY2.text,|||<color=aqua><i>"Wendy, I know my ways of declaring myself are not the best, but believe me when I tell you that I fell in love with you from the first time you offered me a packet of cigarettes at the club. I was surprised to see how young you were and you were already working with that insight in those places. Then I found out that you were forced to work that way when your parents disappeared,"</i></color> he continues as he rests his hand on your cheek, <color=aqua><i>" but I'm here to help you. I want to make you happy, if you let me, of course."</i></color> \n\n Your brain begins to imagine for some reason Bobby's face distorted ({will}: 2). \n If you pass the roll, you think that spending so much time in this gloomy, forsaken place is upsetting your mind. If you fail, an uncontrollable terror invades your mind. Suffer 2 facedown Horror.|||
Event_DIA2_2.button1,Continue
Event_MIRAS_HAB3.text,As you walk past Bobby's room, you notice that it is slightly ajar. You don't see Bobby or Denise anywhere, so you decide to go inside.
Event_MIRAS_HAB3.button1,Continue
Event_RECHAZAS_BOBBY_SIN_COLLAR.button1,Continue
UI_Texto_Final_Dennis.uitext,"It was too late. Denise had already opened the huge portal from which a bluish, hypnotic, glowing light was pouring into her through her eyes. \n"
Event_DONDE_ESTA_BOBBY.text,|||<i>"Where is Bobby? I haven't seen him since last night, but I see through the window that his car is still parked in front of the hotel".</i>|||
Event_DONDE_ESTA_BOBBY.button1,Continue
UI_Continuar2.button1,Botón1
Event_MONSTRUOS_PORTAL1.button1,Through it, some horrifying creatures identical to those described in the old book come out.
Event_MONSTRUOS_PORTAL2.text,Continue
Event_JUGADOR4.button1,Continue
Event_JUGADOR4.text,Place <b>Wendy Adams</b> as indicated.
Event_Control_Hab3.text,Bobby permits you to enter his room.
Event_Control_Hab3.button1,{action} Explore
Event_Control_Hab3.button2,Cancel
Event_ENTRAS_HAB3.text,"This room is somewhat larger than the rest of the hotel. In addition, there is no dust on the furniture and it is much better decorated. \n\n Place the <color=#e3b529>{c:Tile_Habitacion3}</color> tile, the <b>Shelf</b> token and the <color=yellow><i>Search</i></color> token as indicated. \n Remove the Explore token."
Event_ENTRAS_HAB3.button1,Continue
Event_SALES_EXTERIOR.text,As you go down the stairs to go outside you see a huge, bluish light coming from the dock.
Event_SALES_EXTERIOR.button1,Continue
Event_MUELLES_DENNIS.text,|||<color=cyan><i> "We have to close that portal before more creatures like that come through!</i> </color>, Bobby shouts in anguish. \n\n Place the <color=#e3b529>{c:Tile_Muelle}</color> and <color=#e3b529>{c:Tile_Pasillo3}</color> Tiles, the <color=blue><i> Interaction</i> </color>token (it represents Denise in front of the portal) and your Investigator <b> Wendy Adams</b> as indicated.|||
Event_PALA.text,"There is an object lying on the ground that might be useful to you. \n\n Place the <b>{c:QItem_Pala}</b> Common Item as indicated."
Event_MUELLES_BOBBY.text,|||<color=cyan><i>"Naive! I have only used you to carry out my plan. I'll finally be able to find out what happened to my uncle before he disappeared,"</i></color> Bobby shouts, pointing to Denise's body." <color=cyan><i> Your stupid friend tried to interfere and paid dearly for it. Now you will be next."</i></color> \n\n Place the <color=#e3b529>{c:Tile_Muelle}</color> and <color=#e3b529>{c:Tile_Pasillo3}</color> Tiles, the <color=blue><i>Interaction token</i></color> (represents Bobby in front of the portal) and your investigator, <b>Wendy Adams</b>, as indicated.|||
Event_PALA.button1,Continue
Event_MACHETE.text,"There is an object lying on the ground that you may find useful. \n\n Place the <b>{c:QItem_Machete}</b> Common Item as indicated."
Event_MACHETE.button1,Continue
Event_DINAMITA.button1,Continue
Event_DINAMITA.text,"There is an object lying on the ground that might be useful to you. \n\n Place the <b>{c:QItem_Dinamita}</b> Common Item as indicated."
Spawn_Profundo1.button1,Spawn a <b>Deep One</b> as indicated.
Spawn_Horrendo_Cazador.text,Spawn a <b>Hunting Horror</b> as indicated.
Event_INICIO_PISTAS_Y_ACCIONES.button1,Continue
Token_Portal.button1,Botón1
Spawn_Profundo2.text,Continue
Event_Control1_Portal.text,Denise is absorbed by the knowledge that the power of the portal gives him. You should take the opportunity to destroy it {will}.
Event_Control1_Portal.button1,{action} Break
Event_Control1_Portal.button2,Cancel
Event_DENNIS_AGARRA.button1,Continue
Event_DENNIS_CONTRA_BOBBY.text,"At your scream of pain, Bobby lunges at Denise to stop her, but Denise quickly turns to him and grabs him by the throat, lifting him dramatically off the ground. \n\n Bobby's face begins to flush from lack of air. If you don't do something soon he will die. \n On the other hand, this distraction is ideal for you to remove the statue next to the portal and prevent any more of these creatures from entering this world."
Event_DENNIS_AGARRA.text,"You pick up the small figure in the corner of the doorway, but with your eyes rolling Denise grabs your arm with great force. ({agility}:2) \n\n If you pass, you give her a hard slap that causes her to release your arm. If you fail, you feel an unbearable burning in your arm as his fingers soak into your skin. Suffer 2 facedown Damage."
Event_AYUDAS_BOBBY.button1,Take the stone
Event_DENNIS_CONTRA_BOBBY.button1,Help Bobby
Event_BOBBY_CASI_MUERE.text,"You try to take advantage of this distraction to destroy the portal, but you find it extremely difficult to pull the small statue as if it is anchored to the ground. \n While you think of a plan, you see how Bobby's face has already begun to bruise from lack of air as Denise continues to squeeze him tightly by the neck. \n If you don't do something soon, she will end Bobby's life."
Event_AYUDAS_BOBBY.text,Without thinking twice you grab one of the wooden planks that were scattered around the dock and hit Denise in the head with all your might. This act causes her to let go of Bobby, who falls to the ground unconscious.
Spawn_DENNIS1.button1,Continue
Event_Control0_Portal.text,You must defeat them all before you close the portal.
Event_BOBBY_MUERE1.text,"You quickly grab the figure from the ground and put it in your pocket. \n A gurgling sound finishes as Bobby collapses to the ground. \n Denise had killed him."
Event_BOBBY_MUERE1.button1,Continue
Spawn_DENNIS2.text,|||A terrible pang of conscience completely invades you. You can't believe what's happening. Suffer 1 facedown Horror. \n\n <color=magenta><i>"It's useless Wendy. Now I am much stronger and no one will be able to stop me."</i></color> \n\n A blinding light comes out of the pendant that Denise holds in her hand. \n\n Place a <b>Cultist</b> as indicated. \n Remove the Interaction token.|||
Spawn_DENNIS2.button1,Continue
Spawn_DENNIS1.text,"<color=magenta><i>—Damn meddler! You are of no use to me anymore, neither you nor your dear boyfriend. Then I'll take care of her.</i></color> \n\n A blinding light comes out of the necklace you gave Denise. \n\n Place the <b>Cultist</b> as indicated. \n Remove the Interaction token."
Event_Control0_Portal.button1,Continue
UI_Texto_Final_Bobby.uitext,"It was too late. Bobby had already opened a huge portal from which a hypnotic and brilliant light was emerging and entering him through his eyes. \n"
UI_Continuar3.button1,Botón1
Event_MUELLES_DENNIS.button1,Continue
Event_MUELLES_BOBBY.button1,Continue
Event_MUERE_DENNIS.button1,Continue
Event_Control2_Portal.text,"Bobby is immersed in the knowledge that the power of the portal gives to him. You should take the opportunity to destroy it. \n In the old book you read how to do it {lore}."
Event_MUERE_DENNIS1.text,With great pain, you cover Denise's lifeless body with a small tarpaulin. You had to leave the person you had once considered a great friend in that cold, damp place.
Event_Control2_Portal.button1,{action} Break
Event_FALLAS1_PORTAL_DENNIS.text,You try to grab the small sculpture by the doorway, but Denise steps forward and gets in your way.
Event_FALLAS2_PORTAL_DENNIS.button1,Continue
Event_Control2_Portal.button2,Botón2
Event_AGARRA_BOBBY.text,"You try to grab the small figure in the corner of the doorway, but Bobby rolls his eyes and grabs your arm with great force. ({agility}:2) \n\n If you pass the roll, you give him a hard slap that causes him to release your arm. If you fail, you feel an unbearable burning in your arm as his fingers soak into your skin. Suffer 2 facedown Damage."
Event_AGARRA_BOBBY.button1,Continue
Spawn_BOBBY1.button1,Continuar
Event_CASI_MUERE_DENNIS.text,|||For two seconds you try to think of a plan to make him free Denise. \n <i> "Maybe if I grab the small statue next to the doorway he will let go straight away. \n\n <b> Note:</b> Roll 1 die and indicate the result of your roll. No magnifying glasses can be exchanged for Successes.|||
Event_DERROTAS_BOBBY1.text,"You give him the final blow and he collapses to the ground. A trickle of blood runs down from Bobby's skull into the river. You couldn't believe what you were seeing. \n Now all that was left was to finish the job. \n\n Remove the Cultist."
Event_DERROTAS_BOBBY1.button1,Continue
Event_DERROTAS_DENNIS1.button1,Continue
Event_DERROTAS_DENNIS2.text,"You deliver the final blow and she collapses to the ground. A trickle of blood runs down from Denise's skull into the river. You couldn't believe your eyes. \n Now all that was left was to finish the job. \n\n Remove the Cultist."
Event_DERROTAS_DENNIS1.text,"You deliver the final blow and she collapses to the ground. A trickle of blood runs down from Denise's skull into the river. You couldn't believe your eyes. \n Now all that was left was to finish the job. \n\n Remove the Cultist."
Event_DERROTAS_DENNIS2.button1,Continue
Event_MONSTRUOS.button1,Botón1
UI_Texto_Final2.uitext,"The sun sets again as you walk aimlessly through the forest. \n A horrible feeling of loneliness floods your soul again, you are alone again, but that won't stop you from moving on. \n\n You also take with you the ancient book you found to study its magic and discover its secrets. You were sure that having that pendant was no coincidence, and you had to understand perfectly how the magical and supernatural world worked. \n\n \n <color=green><i>You won the game.</i></color> \n\n -The End-"
Event_HUYES_BOSQUE1.text,|||You pick up your necklace, causing the portal to close completely. No more beings were going to enter this world, not while the portal remained closed, and the only two keys to open it were in your possession. \n\n <i>"I must protect this sculpture and the necklace that mom gave me at all costs. If they fall into the wrong hands again it would be a disaster."</i>|||
UI_Texto_Final3.uitext,"The sun sets again as you walk aimlessly through the forest. \n A horrible feeling of loneliness floods your soul again, you were alone again, but that would not stop you from moving on. \n\n You also take with you the ancient book you found to study its magic and discover its secrets. You were sure that having that pendant was no coincidence, and you had to understand perfectly how the magical world and the supernatural worked. \n\n \n\n -The End-"
Event_HUYES_BOSQUE2.text,|||You pick up your necklace, causing the portal to close completely. No more beings were going to enter this world, not while the portal remained closed, and the only two keys to open it were in your possession. \n\n <i>"I must protect this sculpture and the necklace that mom gave me at all costs. If they fall into the wrong hands again it would be a disaster."</i>|||
Event_Control_Mytos.button1,Botón1
Event_INICIO.button1,Continue
Event_Control3_Terror.text,"You notice a dark shadow in one corner of the room. You focus your torch and see a faceless, legless figure standing motionless {lore}: 2 \n If you pass the roll, you try to believe it is a figment of your mind due to the dim light and think nothing more of it. If you fail, the figure suddenly moves and leaps on top of you. Suffer 1 facedown Horror."
Event_Control1_Terror.text,"You hear deafening screams coming from the corridor. \n When you look out you see that everything is dark, there is no one around. \n Suffer 1 facedown Horror, ({will} negates)."
Event_Control1_Terror.button1,Continue
Event_Control2_Terror.text,"Dark stains begin to appear on the walls. You try to touch them and see how your hand is flooded with them. \n You forcefully remove your hand and surprisingly discover that those stains are no longer there. \n\n Suffer 1 facedown Damage ({strength} negates)."
Event_Control2_Terror.button1,Continue
Event_Control0_Terror.button1,Botón1
Event_Control3_Terror.button1,Continue
Event_FAMA_HOTEL.button1,Continue
Event_FAMA_HOTEL.text,"You think this has gone too far and call Bobby to explain. \n\n He avoided telling you that the hotel had a reputation for being haunted so as not to scare you, but you were not pleased that he kept it from you."
Event_MUERE_JUGADOR.text,"You did everything in your power to survive, but it wasn't enough. \n\n Unfortunately you will never find out what is hidden behind the pendant your parents gave you. \n\n \n <color=red><b>You have lost the game.</b></color> \n\n \n\n -The End-"
Event_MUERE_JUGADOR.button1,Continue
Spawn_Horrendo_Cazador.button1,Continue
Event_PISTAS_INICIALES.text,"Before beginning, would you like to see a complete list of the components required by the scenario? \n\n This could help you speed up the search for components during the game, but it also contains <color=red><b>spoilers</b></color> about the story."
Event_PISTAS_INICIALES.button1,List Components
Event_PISTAS_INICIALES.button2,I prefer not to know them
Event_VES_TABLEROS.button1,Continue
Event_VES_COMPONENTES.text,This list is of all the components that have been included in the game and that could appear in the scenario (not all of them will appear since it will depend on the actions taken during the game).
Event_VES_COMPONENTES.button1,List Tiles
Event_VES_COMPONENTES.button2,List Objects
Event_VES_TABLEROS.text,"<color=orange><b>Tiles:</b></color> \n {c:Tile_Habitaciones}\n {c:Tile_Salon} \n {c:Tile_Pasillo1} \n {c:Tile_Habitacion3} \n {c:Tile_Billar} \n {c:Tile_Pasillo2} \n {c:Tile_Banio} \n {c:Tile_Muelle} \n {c:Tile_Pasillo3}"
Event_VES_COMPONENTES.button3,List Monsters and Persons
Event_VES_COMPONENTES.button4,List tokens
Event_VES_COMPONENTES.button5,Start Scenario
Event_NO_VES_COMPONENTES.text,Are you sure you want to start the scenario?
Event_NO_VES_COMPONENTES.button1,Start
Event_NO_VES_COMPONENTES.button2,Back
Event_VES_OBJETOS.text,"<color=yellow><b>Items:</b></color> \n {c:QItem_Linterna} \n {c:QItem_Colgante} \n {c:QItem_Pata_Conejo} \n {c:QItem_Whisky} \n {c:QItem_Tablones_Madera} \n {c:QItem_Nudilleras} \n {c:QItem_Revolver38} \n {c:QItem_Tuberia} \n {c:QItem_Vendas} \n {c:QItem_Palanca} \n {c:QItem_Pala} \n {c:QItem_Machete} \n {c:QItem_Dinamita} \n {c:QItem_Prueba_Fotografica} \n <color=yellow><b>Spells:</b></color> \n {c:QItem_Alimentar_Mente1}"
Event_VES_OBJETOS.button1,Continue
Event_MONSTRUOS_PERSONAJES.text,"<color=cyan><b>Person tokens:</b></color> \n -Bobby Foster \n -Othera Gilman (in this scenario she will be called 'Denise') \n\n \n <color=brown><b>Monsters:</b></color> \n -Cultist \n -Deep One \n -Hunting Horror"
Event_MONSTRUOS_PERSONAJES.button1,Continue
Event_INICIO_PISTAS_Y_ACCIONES.text,"You start the game with <color=green><b>2 Clues {clue}</b></color>. \n\n You cannot discard the <i>{c:QItem_Colgante}</i> Unique item unless otherwise indicated in the scenario's story. \n\n It is recommended to play with 3 actions {action} in each Investigator Phase."
Event_FINAL1_DENNIS1.button1,Continue
UI_Texto_Final3_1.uitext,"The sun sets again as you walk aimlessly through the forest. \n A horrible feeling of loneliness floods your soul again, you are alone again, but that won't stop you from moving on. \n\n You were sure that having that pendant was no coincidence and you must understand perfectly how the magical and supernatural world worked. \n\n \n <color=green><i>You won the game.</i></color> \n\n -The End-"
Event_HUYES_BOSQUE1.button1,Continue
Event_DERROTAS_SERPIENTE.button1,Continue
UI_Texto_Final3_2.uitext,"The sun sets again as you walk aimlessly through the forest. \n A horrible feeling of loneliness floods your soul again, you were alone again, but that would not stop you from moving on. \n\n You also take with you the ancient book you found to study its magic and discover its secrets. You were sure that having that pendant was no coincidence, and you had to understand perfectly how the magical world and the supernatural worked. \n\n \n <color=green><i>You won the game</i></color> \n\n \n -THE END-"
Event_HUYES_BOSQUE2.button1,Continue
Event_HUYES_BOSQUE3.text,|||You pick up your necklace, causing the portal to close completely. No more beings were going to enter this world, not while the portal remained closed, and the only two keys to open it were in your possession. \n\n <i>"I must protect this sculpture and the necklace that mom gave me at all costs. If they fall into the wrong hands again it would be a disaster."</i>|||
Event_HUYES_BOSQUE3.button1,Continue
Event_FINAL1_DENNIS1.text,"You carry the still-unconscious Bobby into the room and write him a goodbye note. You can't stay next to someone who has played with your trust. \n By the time he wakes up, you won't be there anymore."
Event_NOCHE2_CON_COLLAR.button1,Continue
